24934 : Pressure,24934 : Pressure,24933 : Pressure,24933 : Pressure,24932 : Pressure,24932 : Pressure
dt,Value,dt,Value,dt,Value
0,4.11291563927888E-06,0,4.13949181033439E-06,0,4.14677540204829E-06
0.04,3.94770393655661E-06,0.04,4.11291563927888E-06,0.04,4.07933235242718E-06
0.08,4.12738619000592E-06,0.08,4.12015246921909E-06,0.08,4.18091391683581E-06
0.12,4.22028752098763E-06,0.12,4.16868716079372E-06,0.12,4.02474083145247E-06
0.16,4.45392998493013E-06,0.16,4.09608957789183E-06,0.16,3.94770393655661E-06
0.2,4.15407180951608E-06,0.2,4.40464339014707E-06,0.2,4.43051891196291E-06
0.24,4.13707737700072E-06,0.24,4.16138105528756E-06,0.24,4.07455941187828E-06
0.28,4.07693735919896E-06,0.28,4.03654539302803E-06,0.28,4.10569152044779E-06
0.32,4.17847532331068E-06,0.32,4.02710516187687E-06,0.32,4.21287480912409E-06
0.36,4.30768382722406E-06,0.36,4.28002783767493E-06,0.36,4.14192355111934E-06
0.4,4.50904379719631E-06,0.4,4.06264368127511E-06,0.4,4.18091391683581E-06
0.44,4.03419100505087E-06,0.44,4.26751123071638E-06,0.44,4.48009504581773E-06
0.48,4.11533176791577E-06,0.48,4.14192355111934E-06,0.48,4.17847532331068E-06
0.52,4.07693735919896E-06,0.52,4.14192355111934E-06,0.52,4.04127380393982E-06
0.56,4.2500527141224E-06,0.56,4.13949181033439E-06,0.56,4.04364784664422E-06
0.6,4.30013411401342E-06,0.6,4.24755749024982E-06,0.6,4.06740266373236E-06
0.64,4.41496863621589E-06,0.64,4.04364784664422E-06,0.64,4.25753084190972E-06
0.68,4.20055458595E-06,0.68,4.46960033303212E-06,0.68,4.44871875397603E-06
0.72,4.06025848603611E-06,0.72,4.25503122759677E-06,0.72,4.33553516128669E-06
0.76,4.09608957789183E-06,0.76,4.06977643431432E-06,0.76,4.02474083145247E-06
0.8,4.07455941187828E-06,0.8,4.06740266373236E-06,0.8,3.97786679224966E-06
0.84,4.23762376707033E-06,0.84,4.33806541626112E-06,0.84,4.07693735919896E-06
0.88,4.39690686694802E-06,0.88,4.21040141255634E-06,0.88,4.1662556987448E-06
0.92,4.29508634248518E-06,0.92,4.32792002303723E-06,0.92,4.45392998493013E-06
0.96,4.06740266373236E-06,0.96,4.07216722086357E-06,0.96,4.21287480912409E-06
1,4.11050092916132E-06,1,4.07693735919896E-06,1,4.07216722086357E-06
1.04,4.00592222040398E-06,1.04,4.21040141255634E-06,1.04,3.9500078499494E-06
