,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
0,0.0009984478967272395,1774567845664314.5,2.409471564805916e+18,1931118213932.4832,3.208533982078608e+20,386472158665931.9,163070428007642.2,70815329403817.42,33068333248899.844,15848701466172.074,7084993961361.07,3233593684689.848,1460845440517.8767,596105746903.1422,378534668453089.1,0.842145134628809,1441884675450614.5,45851498239389.88
1,14.100271425853485,1792066923402921.2,2.4092992547452175e+18,54785908213315.99,3.2085318599736426e+20,480414639687063.7,190732866093737.62,95468016872355.9,56086994997283.125,38822569249539.26,27294611644830.35,21789714728723.375,17452849085862.238,14095148568145.447,381644986930806.1,23366344026120.67,1432895132914313.2,45839540468318.68
2,19.929655858176567,1888036907472954.2,2.409445889002366e+18,219544003629808.22,3.20852412086005e+20,588600807517587.6,256581145682371.78,159703161780442.78,116680551862482.7,99380946997538.81,80638340550835.45,71056025893998.44,59956357515862.54,49645446681261.23,406892823188375.2,104458697695164.83,1422509350248546.0,45823963659131.83
3,21.885698707517992,2025190864626806.0,2.409678507525936e+18,432805921304372.75,3.208514065385135e+20,710560304125635.6,339186571840733.0,240908860506139.22,193316978634038.25,175954393265291.28,148112771758024.72,133467494456362.58,113784937798268.86,94569128173395.05,445799896045779.6,208061577291981.28,1417136450805284.0,45807059516239.04
4,21.987159477412398,2181347594076064.2,2.409979814250971e+18,670825714556764.4,3.208502623722316e+20,843590046988592.8,431061059653493.4,331298984832697.5,278603029674193.5,261137283709417.94,223163209780026.38,202895342517197.78,173650758608851.25,144503627343153.9,490719019236641.3,317699319138222.0,1418718325314224.8,45789069613023.8
5,21.246808844806708,2345133817041867.5,2.4103457718327363e+18,922526495281440.6,3.208490224708667e+20,986030397501048.4,528661985073668.7,427210618501073.06,369064938213007.9,351449992798508.75,302704682582174.8,276447108342208.7,237062523306322.9,197395791684726.12,537397415901155.0,425730197440767.6,1427776268339671.0,45770064639726.19
6,20.190561418931903,2510011014524872.5,2.4107722338201405e+18,1181228168860849.5,3.208477135979149e+20,1136760543808890.2,629856179567866.5,526444132852508.75,462616933745672.75,444803415594769.44,384886023197940.3,352389077903458.3,302526452733505.9,252013449801638.28,583448983193175.4,528132945233325.8,1444179198318067.5,45750112219696.41
7,19.085792040850787,2672158494589696.0,2.4112540934615373e+18,1442600474617769.5,3.208463545345656e+20,1294986393749979.5,733222972096076.4,627536561489974.6,557871081491247.06,539807644299305.56,468477957566773.3,429573925578687.56,369052393900713.75,307538227951847.44,627621120936340.4,622794965028044.0,1467471697981628.0,45729289356316.38
8,18.053948607114663,2829565589647947.0,2.41178579051398e+18,1703931382667045.0,3.2084495835203686e+20,1460159069172819.5,837847113633207.6,729546836128205.6,653934043583106.8,635568280894700.1,552691374065264.25,507268571871435.56,436006483439024.0,363444614116528.25,669382853719236.2,708867690140311.1,1497022721399638.2,45707675611238.82
9,17.133591524652648,2981475707723203.5,2.412362464103117e+18,1963768855314591.0,3.2084353284537215e+20,1631938813424703.8,943250118005431.0,831985339178564.2,750340946515258.9,731620063910579.5,637116890160220.9,585094869602727.2,503061194336224.44,419459827783791.0,708624960359995.0,786325565307162.9,1532210520109508.0,45685338053462.414
10,16.33251617062278,3127675234280223.5,2.412979086949079e+18,2221226364011338.2,3.208420841147727e+20,1810058891348802.8,1049100918618337.2,934514502514791.0,846771046724545.0,827642143521403.4,721473427352633.6,662795620839543.5,569993140828316.9,475396410271875.4,745449065563502.6,855559195364287.1,1572329318123823.2,45662344771389.375
11,15.639374075814725,3268364217122201.5,2.413632016887211e+18,2476001113713665.0,3.20840615192584e+20,1994351567775239.8,1155289352092823.8,1037025741292497.6,943121352324809.2,923531693670256.5,805671829036293.2,740291217074204.6,636732853609473.0,531194745588936.0,780033072678709.9,917152539761779.1,1616817349137897.5,45638744456184.81
12,15.038669351242655,3403882768170893.0,2.414317898160596e+18,2728015773980961.5,3.2083912837253707e+20,2184678788872087.8,1261753513792771.0,1139459956277360.8,1039335812034023.5,1019232905683046.5,889664569811534.0,817541075714684.5,703244581225826.8,586822906928253.1,812596440436499.1,971788164855508.5,1665112745319113.0,45614582440227.29
13,14.51433471781643,3534620628505425.5,2.415033860523058e+18,2977306004080891.5,3.208376251901793e+20,2380906193044520.0,1368483994238906.5,1241813614142531.5,1135411428637867.0,1114743109163358.2,973450655529427.2,894547202271184.9,769529650835169.4,642280012989013.8,843346488144318.5,1020154290423995.9,1716709747871005.0,45589897933893.766
14,14.053668283840137,3660933418837910.5,2.415777494061903e+18,3223960198592819.0,3.208361068799205e+20,2582926623029880.5,1475473693067205.2,1344084207373028.5,1231346077996893.0,1210060473321701.0,1057029737356207.1,971312045312557.5,835589838043661.5,697565614823236.2,872465046675883.1,1062866967320046.1,1771166129843498.2,45564725001516.87
15,13.645193341615336,3783158192980156.0,2.416546653978378e+18,3468072928096044.0,3.2083457438824484e+20,2790611885894989.5,1582736852559492.0,1446293129004134.2,1327160645599485.5,1305206232400898.5,1140421473254752.0,1047855947138991.8,901442593641836.4,752692668305999.4,900109749706617.1,1100504890922235.4,1828082646755306.0,45539094404002.555
16,13.2804143939875,3901591161192661.0,2.4173394335192786e+18,3709749755110272.5,3.2083302863948395e+20,3003859513016423.5,1690272759376359.2,1548444511835558.8,1422859426790678.8,1400184974868679.5,1223630887926312.2,1124185794257174.5,967093715250066.2,807664358125387.0,926420113954529.0,1133586702575878.0,1887097379588171.5,45513034925917.72
17,12.952005550576615,4016489779131755.5,2.4181541699335444e+18,3949076819119400.5,3.208314703656699e+20,3222541959183773.5,1798094569804933.2,1650558716090121.8,1518462423666644.5,1495017038053784.0,1306676561679593.5,1200320326516322.5,1032559407952752.0,862492991928412.0,951510174317675.4,1162568540491382.2,1947897636189055.0,45486571866357.07
18,12.654794218305051,4128081909501898.5,2.4189893670205594e+18,4186142600231988.5,3.2082990032071806e+20,3446567418057682.5,1906198364515662.8,1752636012489071.2,1613970273211078.0,1589703322054719.5,1389560051023027.0,1276262776155157.5,1097842417510472.5,917179486427404.5,975481553146097.9,1187860022477616.0,2010200063479228.5,45459729601043.766
19,12.384049129790412,4236570915223615.5,2.4198436388834964e+18,4421022785503946.5,3.208283191700283e+20,3675813017945722.0,2014589451286153.2,1854688261896884.5,1709394897638741.8,1684256065703495.2,1472292688005331.5,1352024921955341.0,1162952976803657.2,971731354737150.6,998422781165164.6,1209833485976943.0,2073747178838546.5,45432530757038.45
20,12.13586774863657,4342136608501152.0,2.4207157684746255e+18,4653785144632685.0,3.208267274888154e+20,3910161522570656.5,2123274007020001.0,1956727993480697.2,1804748851442738.5,1778688125225195.5,1554886258049299.0,1427618770875902.2,1227901550166414.5,1026156428597502.4,1020409122555428.6,1228817010923990.5,2138315470909309.2,45404995887575.76
