,Te,ne,nH,nH_2s,nH2_v0,nH2_v1,nH2_v2,nH2_v3,nH2_v4,nH2_v5,nH2_v6,nH2_v7,nH2_v8,nH2_v9,nHp,nH2p,nH3p,nHm
0,6.098387791126787,1.2380663554918172e+16,9.103147959616177e+18,7.357998012511218e+16,3.163829761200636e+20,4.8283046283142394e+17,1.6268767426195107e+17,1.1327620291145195e+17,8.80074778563719e+16,7.13764533048211e+16,5.393750764760599e+16,4.313799923391138e+16,3.356320492965064e+16,2.6120493926876292e+16,3557613124777961.0,744576670292736.2,8214956608961491.0,136482849114015.1
1,6.098467449049782,1.2380663249248116e+16,9.103175199767825e+18,7.357997496669891e+16,3.163829624662655e+20,4.828305539761249e+17,1.6268767051695744e+17,1.1327619513768459e+17,8.800746957738027e+16,7.1376444631115656e+16,5.393750049610684e+16,4.313799293176651e+16,3.3563199483893892e+16,2.612048937892177e+16,3557617021663945.5,744573716003214.0,8214955337630554.0,136482826049597.69
2,6.098501319453549,1.2380665124541488e+16,9.103202459454557e+18,7.357997401752878e+16,3.163829487891782e+20,4.828306439352965e+17,1.6268766826205344e+17,1.1327618900581237e+17,8.800746286910469e+16,7.1376437533185304e+16,5.39374947320961e+16,4.3137987906523064e+16,3.3563195141022436e+16,2.6120485758798316e+16,3557621651962287.0,744572567299726.4,8214953705096173.0,136482799816698.08
3,6.098516381996311,1.238066789453949e+16,9.103229723726525e+18,7.35799747967134e+16,3.163829351042409e+20,4.828307333993245e+17,1.6268766661957107e+17,1.132761835490425e+17,8.800745680675283e+16,7.137643108329826e+16,5.3937489538629736e+16,4.313798340630904e+16,3.3563191251626664e+16,2.612048252017104e+16,3557626582734213.5,744572143792449.2,8214951940299667.0,136482772286839.3
4,6.098523073553508,1.2380671061690366e+16,9.103256986800484e+18,7.357997634453827e+16,3.163829214174266e+20,4.8283082263522746e+17,1.6268766524998794e+17,1.1327617839337784e+17,8.800745103257533e+16,7.13764249225681e+16,5.3937484599678856e+16,4.3137979140268264e+16,3.3563187564487256e+16,2.612047945169426e+16,3557631646498049.5,744572028834633.0,8214950130541675.0,136482744183991.08
5,6.098525641781075,1.2380674423522468e+16,9.103284246322574e+18,7.357997827041712e+16,3.16382907731167e+20,4.828309117516332e+17,1.6268766401512032e+17,1.1327617338660606e+17,8.800744540097282e+16,7.137641890493271e+16,5.393747978662381e+16,4.31379749900261e+16,3.3563183977361276e+16,2.612047646735303e+16,3557636775090785.0,744572053925240.6,8214948310309231.0,136482715802787.11
6,6.098526307678067,1.2380677874187112e+16,9.103311501061948e+18,7.357998037012528e+16,3.16382894046734e+20,4.8283100080530534e+17,1.6268766284271274e+17,1.1327616844913814e+17,8.800743983581418e+16,7.13764129540191e+16,5.393747503221196e+16,4.313797089368686e+16,3.3563180436788024e+16,2.612047352217188e+16,3557641932871672.0,744572131757756.6,8214946496854960.0,136482687297275.36
7,6.09852611712338,1.2380681363860588e+16,9.103338750438957e+18,7.357998254749691e+16,3.1638288036472685e+20,4.8283108982293446e+17,1.6268766169873683e+17,1.1327616354349432e+17,8.800743430124829e+16,7.137640703386227e+16,5.393747030477323e+16,4.313796682210321e+16,3.356317691759226e+16,2.6120470594971332e+16,3557647103057640.5,744572222086442.5,8214944697456493.0,136482658739987.53
8,6.098525520321422,1.2380684871115604e+16,9.103365994204099e+18,7.357998476114128e+16,3.163828666854041e+20,4.828311788159716e+17,1.6268766056854234e+17,1.1327615865354042e+17,8.800742878184226e+16,7.13764011289803e+16,5.393746559067458e+16,4.313796276272808e+16,3.3563173408936844e+16,2.6120467676634244e+16,3557652278424762.0,744572308388784.1,8214942914464194.0,136482630162135.39
9,6.098524737253154,1.2380688385500336e+16,9.10339323223552e+18,7.357998699083813e+16,3.1638285300889236e+20,4.8283126778997574e+17,1.6268765944496816e+17,1.1327615377139205e+17,8.800742327005456e+16,7.137639523180779e+16,5.393746088325409e+16,4.313795870943033e+16,3.3563169905526188e+16,2.6120464762705476e+16,3557657455443770.0,744572383319809.5,8214941148315717.0,136482601578960.19
10,6.098523868125431,1.238069190227072e+16,9.10342046447782e+18,7.357998922738077e+16,3.163828393352496e+20,4.8283135674744435e+17,1.6268765832474976e+17,1.132761488934569e+17,8.800741776244928e+16,7.1376389338898e+16,5.393745617947668e+16,4.313795465941668e+16,3.3563166404947736e+16,2.612046185115532e+16,3557662632507582.5,744572444210083.4,8214939398550449.0,136482572997395.3
11,6.098522958980407,1.2380695419262902e+16,9.103447690905683e+18,7.357999146654298e+16,3.163828256645027e+20,4.828314456894911e+17,1.626876572063849e+17,1.1327614401808368e+17,8.80074122574472e+16,7.137638344866673e+16,5.393745147794741e+16,4.31379506114034e+16,3.356316290609272e+16,2.612045894105091e+16,3557667808878440.0,744572490456712.0,8214937664348368.0,136482544420617.22
12,6.098522031826991,1.2380698935457976e+16,9.103474911507194e+18,7.357999370630866e+16,3.163828119966647e+20,4.828315346166147e+17,1.6268765608915306e+17,1.1327613914448227e+17,8.800740675429285e+16,7.137637756035621e+16,5.3937446777999016e+16,4.31379465647765e+16,3.3563159408430852e+16,2.6120456031946064e+16,3557672984204404.5,744572522368404.8,8214935944735302.0,136482515850135.05
13,6.0985210964322265,1.2380702450417892e+16,9.103502126277278e+18,7.35799959457869e+16,3.163827983317416e+20,4.8283162352900486e+17,1.6268765497273222e+17,1.132761342723014e+17,8.800740125265051e+16,7.137637167362968e+16,5.393744207933502e+16,4.313794251926318e+16,3.356315591172655e+16,2.6120453123642532e+16,3557678158330046.5,744572540619237.5,8214934238755218.0,136482487286609.61
14,6.098520158716752,1.2380705963942656e+16,9.103529335214924e+18,7.357999818445864e+16,3.163827846697373e+20,4.828317124266089e+17,1.6268765385691552e+17,1.1327612940132443e+17,8.800739575231402e+16,7.137636578828054e+16,5.393743738177371e+16,4.313793847469647e+16,3.3563152415835736e+16,2.6120450216018868e+16,3557683331166692.0,744572547919990.9,8214932543586366.0,136482458730391.77
15,6.098519222595212,1.2380709475974374e+16,9.103556538322084e+18,7.358000042200518e+16,3.163827710106543e+20,4.828318013091965e+17,1.6268765274155245e+17,1.132761245314039e+17,8.800739025314395e+16,7.1376359904169304e+16,5.393743268519253e+16,4.3137934430964104e+16,3.3563148920661628e+16,2.6120447308993304e+16,3557688502662527.0,744572548625150.1,8214930854868351.0,136482430181654.94
16,6.098518285256464,1.2380712986524696e+16,9.103583735596244e+18,7.358000265864534e+16,3.163827573544908e+20,4.828318901770128e+17,1.6268765162675664e+17,1.1327611966264744e+17,8.80073847552417e+16,7.137635402139731e+16,5.393742798968043e+16,4.3137930388147464e+16,3.356314542627433e+16,2.612044440262516e+16,3557693672851907.5,744572538586526.0,8214929176726561.0,136482401640298.61
17,6.0985173467005085,1.2380716495593624e+16,9.103610927037404e+18,7.35800048943791e+16,3.1638274370124684e+20,4.828319790300577e+17,1.6268765051252816e+17,1.1327611479505504e+17,8.800737925860723e+16,7.137634813996456e+16,5.3937423295237416e+16,4.313792634624655e+16,3.356314193267384e+16,2.6120441496914428e+16,3557698841734834.0,744572517804118.5,8214927509160994.0,136482373106322.8
18,6.098516406927346,1.2380720003181156e+16,9.103638112645564e+18,7.358000712920648e+16,3.1638273005092235e+20,4.828320678683313e+17,1.6268764939886694e+17,1.132761099286267e+17,8.800737376324056e+16,7.137634225987106e+16,5.393741860186348e+16,4.313792230526136e+16,3.356313843986016e+16,2.6120438591861116e+16,3557704009311306.5,744572486277927.8,8214925852171651.0,136482344579727.48
